id,name,size_group_id
1,XXS以下,1
2,XS(SS),1
3,S,1
4,M,1
5,K,1
6,XL(LL),1
7,2XL(3L),1
8,3XL(4L),1
9,4X(5L)以上,1
10,FREE SIZE,1
11,23.5cm以下,2
12,24cm,2
13,24.5cm,2
14,25cm,2
15,25.5cm,2
16,26cm,2
17,26.5cm,2
18,27cm,2
19,27.5cm,2
20,28cm,2
21,28.5cm,2
22,29cm,2
23,29.5cm,2
24,30cm,2
25,30.5cm,2
26,31cm以上,2
27,20cm以下,3
28,20.5cm,3
29,21cm,3
30,21.5cm,3
31,22cm,3
32,22.5cm,3
33,23cm,3
34,23.5cm,3
35,24cm,3
36,24.5cm,3
37,25cm,3
38,25.5cm,3
39,26cm,3
40,26.5cm,3
41,27cm,3
42,27.5cm以上,3
43,60cm以下,4
44,~70cm,4
45,~80cm,4
46,~90cm,4
47,90cm以上,4
48,100cm,5
49,110cm,5
50,120cm,5
51,130cm,5
52,140cm,5
53,150cm,5
54,160cm,5
55,10.5cm以下,6
56,11cm・11.5cm,6
57,12cm・12.5cm,6
58,13cm・13.5cm,6
59,14cm・14.5cm,6
60,15cm・15.5cm,6
61,16cm・16.5cm,6
62,17cm以上,6
63,60cm,7
64,70cm,7
65,80cm,7
66,90cm,7
67,95cm,7
68,~20インチ,8
69,20~26インチ,8
70,26~32インチ,8
71,32~37インチ,8
72,37~40インチ,8
73,40~42インチ,8
74,42~46インチ,8
75,46~52インチ,8
76,52~60インチ,8
77,60インチ~,8
78,ニコンFマウント,9
79,キャノンEFマウント,9
80,ペンタックスKマウント,9
81,ペンタックスQマウント,9
82,フォーサーズマウント,9
83,マイクロフォーサーズマウント,9
84,αAマウント,9
85,αEマウント,9
86,ニコン１マウント,9
87,キャノンEF-Mマウント,9
88,Xマウント,9
89,シグマSAマウント,9
90,50cc以下,10
91,51cc-125cc,10
92,126cc-250cc,10
93,251cc-400cc,10
94,401cc-750cc,10
95,751cc以上,10
96,XSサイズ以下,11
97,Sサイズ,11
98,Mサイズ,11
99,Lサイズ,11
100,XLサイズ,11
101,XXLサイズ以上,11
102,フリーサイズ,11
103,子ども用,11
104,12インチ,12
105,13インチ,12
106,14インチ,12
107,15インチ,12
108,16インチ,12
109,17インチ,12
110,18インチ,12
111,19インチ,12
112,20インチ,12
113,21インチ,12
114,22インチ,12
115,23インチ,12
116,24インチ,12
117,140cm~,13
118,150cm~,13
119,160cm~,13
120,170cm~,13
121,スキーボード,13
122,子ども用,13
123,その他,13
124,135cm~140cm未満,14
125,140cm~145cm未満,14
126,145cm~150cm未満,14
127,150cm~155cm未満,14
128,155cm~160cm未満,14
129,160cm~165cm未満,14
130,165cm~170cm未満,14